project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,3,1,0.5,false,67,1,0.005891972925037365,0,PACKAGE,.,.,com.pump.desktop.logging,logging,7101,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,4,1,0.25,false,87,1,0.005420164784591593,0,PACKAGE,.,.,com.pump.desktop.temp,temp,7109,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,4,0.7142857142857143,false,1113,20,0.014176177800301844,0,PACKAGE,.,.,com.pump.awt.converter,converter,5075,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,5,3,0.4166666666666667,false,508,4,0.020764567235606126,0,PACKAGE,.,.,com.pump.io.parser.java,java,5092,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.02631578947368421,false,PACKAGE,2,1,0.5833333333333334,false,541,38,0.004206997619468605,0,PACKAGE,.,.,com.pump.text.html.css.border,border,3060,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.3333333333333333,false,PACKAGE,4,1,0.45454545454545453,false,301,3,0.01275098739322336,0,PACKAGE,.,.,com.pump.data.converter,converter,1013,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.5,false,PACKAGE,1,1,0.5,false,167,2,0.008302629160982325,0,PACKAGE,.,.,com.pump.data.encoder,encoder,1025,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.35714285714285715,false,PACKAGE,0,1,1.0,false,958,14,0.003337730402180565,0,PACKAGE,.,.,com.pump.data.branch,branch,1033,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,6,0.9,false,579,3,0.004114469319101042,0,PACKAGE,.,.,com.pump.awt.text.writing,writing,1042,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,2,2,0.6,false,60,1,0.004469767224658631,0,PACKAGE,.,.,com.pump.desktop.cache,cache,5146,container
